Distrito;Latitude;Longitude;Acidentes
Mandaqui;-23.28558;-46.37348;60
Tatuape;-23.53626;-46.57569;41
Jardim Helena;-23.480446;-46.4202960;69
Santa Cecilia;-23.5375;-46.6578;58
Cachoeirinha;-23.4616;-46.6608;61
Moema;-23.602583;-46.671416;52
Pirituba;-23.4800;-46.7411;49
Anhanguera;-23.4386;-46.7934;12
Morumbi;-23.6002;-46.7164;30
Bela Vista;-23.5574;-46.6453;44
Lajeado;-23.5247;-46.4272;36
Artum Alvim;-23.5472;-46.4701;27
Vila Jacui;-23.5018;-46.4517;53
Vila Mariana;-23.5854;-46.6379;73
Republica;-23.5440;-46.6409;82
Ipiranga;-23.5899;-46.6036;48
Freguesia do o;-23.5029;-46.6976;56
Pinheiros;-23.5616;-46.6843;101
Butanta;-23.5642;-46.7197;64
Santo Amaro;-23.6492;-46.6988;46
Sao Mateus;-23.6011;-46.4797;30
Vila Curuca;-23.5080;-46.4163;49
Brasilandia;-23.4698;-46.6889;73
Capao Redondo;-23.6685;-46.7694;53
Consolacao;-23.5501;-46.6513;63
Bom Retiro;-23.5235;-46.6382;62
Jacana;-23.4670;-46.5717;73
Saude;-23.6144;-46.6347;45
Santana;-23.4997;-46.6254;52
Sapopemba;-23.5855;-46.5310;51
Vila Maria;-23.5183;-46.5874;87
Perdizes;-23.5357;-46.6729;25
Ponte Rasa;-23.5088;-46.4945;42
Pari;-23.5259;-46.6118;33
Pedreira;-23.6950;-46.6381;14
Jardim Paulista;-23.5718;-46.6607;67
Cursino;-23.6030;-46.6256;31
Vila Andrade;-23.6340;-46.7339;27
Liberdade;-23.5587;-46.6326;37
Campo Belo;-23.6196;-46.6727;28
Jabaquara;-23.6360;-46.6454;61
Guaianases;-23.5745;-46.4067;25
Jaragua;-23.4632;-46.7451;24
Belem;-23.5476;-46.5905;39
Cangaiba;-23.5058;-46.5275;50
agua Rasa;-23.5531;-46.5810;37
Sao Miguel;-23.4934;-46.4375;47
Jaguare;-23.5429;-46.7441;25
Vila Prudente;-23.5796;-46.5801;40
Vila Leopoldina;-23.5325;-46.7334;30
Grajau;-23.7713;-46.6674;53
Vila Formosa;-23.5681;-46.5404;22
Tucuruvi;-23.4738;-46.6109;40
Jaguare;-23.5432;-46.7505;5
Cidade Lider;-23.5570;-46.4749;22
Raposo Tavares;-23.5927;-46.7662;26
Carrao;-23.5510;-46.5327;25
Itaim Bibi;-23.5846;-46.6790;78
Cambuci;-23.5647;-46.6202;17
Bras;-23.5400;-46.6143;46
Cidade Tiradentes;-23.6036;-46.4001;26
Mooca;-23.5573;-46.6005;42
Vila Guilherme;-23.5126;-46.6060;36
Itaquera;-23.5370;-46.4529;72
Itaim Paulista;-23.4691;-46.4033;43
Vila Medeiros;-23.4883;-46.5851;77
Limao;-23.5077;-46.6718;49
Socorro;-23.6700;-46.7141;27
Lapa;-23.5233;-46.7108;25
Tremembe;-23.4630;-46.6248;67
Barra Funda;-23.5279;-46.6572;34
Se;-23.5511;-46.6309;42
Rio Pequeno;-23.5652;-46.7555;41
Casa Verde;-23.5105;-46.6564;37
Parque do Carmo;-23.5714;-46.4766;22
Sacoma;-23.613732;-46.5972;46
Penha;-23.5247;-46.5443;52
Alto de Pinheiros;-23.5517;-46.7117;31
Campo Grande;-23.6847;-46.6825;31
Jardim angela;-23.7018;-46.7682;28
Vila Matilde;-23.5387;-46.5262;27
Campo Limpo;-23.6346;-46.7547;34
Jardim Sao Luis;-23.6515;-46.7329;41
Parelheiros;-23.8201;-46.7037;25
Ermelino Matarazzo;-23.4897;-46.4677;42
Cidade Dutra;-23.7116;-46.7018;58
Vila Sonia;-23.5949;-46.7316;33
Cidade Ademar;-23.670187;-46.6572;47
Perus;-23.3996;-46.7506;12
Jose Bonifacio;-23.5450;-46.4349;23
Sao Domingos;-23.5034;-46.7434;17
Aricanduva;-23.5795;-46.5109;20
Marsilac;-23.8848;-46.7380;3
Iguatemi;-23.6174;-46.4169;14
Sao Lucas;-23.5869;-46.5347;28
Sao Rafael;-23.6294;-46.4595;9
